2026-01-08 10:40:12,561 | MainThread   | [DEBUG   ] | <module>            |: debug
2026-01-08 10:40:12,561 | MainThread   | [INFO    ] | <module>            |: info
2026-01-08 10:40:12,563 | MainThread   | [WARNING ] | <module>            |: warning
2026-01-08 10:40:12,565 | MainThread   | [ERROR   ] | <module>            |: error
2026-01-08 10:40:12,566 | MainThread   | [CRITICAL] | <module>            |: critical
2026-01-08 10:40:17,210 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=10, releaselevel='final', serial=0)
2026-01-08 10:40:17,210 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-15.1.1-arm64-arm-64bit
2026-01-08 10:40:17,210 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:31:25:23:64
2026-01-08 10:52:48,897 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2026-01-08 10:52:48,900 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2026-01-08 10:52:48,900 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2026-01-08 10:52:55,714 | MainThread   | [DEBUG   ] | <module>            |: debug
2026-01-08 10:52:55,715 | MainThread   | [INFO    ] | <module>            |: info
2026-01-08 10:52:55,717 | MainThread   | [WARNING ] | <module>            |: warning
2026-01-08 10:52:55,718 | MainThread   | [ERROR   ] | <module>            |: error
2026-01-08 10:52:55,719 | MainThread   | [CRITICAL] | <module>            |: critical
2026-01-08 10:52:59,775 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=10, releaselevel='final', serial=0)
2026-01-08 10:52:59,775 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-15.1.1-arm64-arm-64bit
2026-01-08 10:52:59,776 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:31:25:23:64
2026-01-08 10:52:59,777 | MainThread   | [INFO    ] | _get_ble_device     |: Scanning for device with service UUID: d1e59283-ea64-46d2-9619-feda9179e362
2026-01-08 10:53:09,859 | MainThread   | [INFO    ] | _get_ble_device     |: Found 1 device(s) advertising service d1e59283-ea64-46d2-9619-feda9179e362
2026-01-08 10:53:09,862 | MainThread   | [INFO    ] | _get_ble_device     |: Selecting device: 896214EC-B8B9-1801-B251-8F8579C5D0EB (name: Artemis BLE)
2026-01-08 10:55:34,604 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2026-01-08 10:55:34,609 | MainThread   | [INFO    ] | exit_handler        |: Gracefully Exiting
